id,title,desc,date,source,url,category
12,Jenderal OPM Ajak Gencatan Senjata di Tengah Wabah Covid-19," Letnan Jenderal Jeffrey Bomanak yang berkedudukan di Markas Besar Organisasi Papua MerdekaTentara Nasional Pembebasan Papua Barat (OPMTPNPB) di Victoria Australia menyerukan gencatan senjata terkait wabah Covid19. ""Secara resmi OPMTPNPB memiliki legitimasi mengeluarkan statement kemanusiaan untuk bergabung bersama negara negara diseluruh dunia dalam memerangi global ",2020-04-09 15:20:00,Gatra.com,https://www.gatra.com/detail/news/474991/politik/jenderal-opm-ajak-gencatan-senjata-di-tengah-wabah-covid-19,Politik
13,Dihadang Corona PKS Berhenti Bahas Bacagub,Wabah virus Corona membuat pembahasan terkait Bakal Calon Kepala daerah (Bacakada) untuk Pilkada serentak 2020 ini masih berjalan di tempat. Wabah ini membuat sejumlah partai politik berhenti sementara membahas siapa yang bakal diusung begitu juga untuk Pilkada serentak di Provinsi Jambi.,2020-04-13 15:02:00,Gatra.com,https://www.gatra.com/detail/news/475342/politik/dihadang-corona-pks-berhenti-bahas-bacagub,Politik
14,Lockdown Hantam Ekonomi WNI di Malaysia Ini Seruan DPR!, Wabah virus corona tidak hanya merepotkan warga di tanah air tetapi juga WNI yang tinggal di luar negeri. Di Malaysia misalnya terdapat sekitar 35 juta WNI yang terdampak kebijakan ,2020-04-13 07:17:00,Gatra.com,https://www.gatra.com/detail/news/475314/politik/lockdown-hantam-ekonomi-wni-di-malaysia-ini-seruan-dpr,Politik
15,OPM Klaim Lakukan Serangan Balasan Atas Kematian Pemimpinnya,Komandan Operasi Kodap Intan Jaya Gusby Waker mengklaim telah melakukan serangan balasan atas kematian Tandi Kogoya 35 tahun. Tandi Kogoya adalah Komandan Operasi TPNPB (Tentara Pembebasan Nasional Papua Barat) Batalion Kodap VIII Kemabu Intan Jaya Papua.,2020-04-13 10:07:00,Gatra.com,https://www.gatra.com/detail/news/475316/politik/opm-klaim-lakukan-serangan-balasan-atas-kematian-pemimpinnya,Politik
16,DPRD Jateng Rasionalisasi Anggaran Rp1849 M Untuk Corona,Dewan Perwakilan Rakyat Daerah (DPRD) Jateng melakukan rasionalisasi anggaran senilai Rp1849 miliar untuk penanganan Virus Corona atau Covid19.,2020-04-07 16:52:00,Gatra.com,https://www.gatra.com/detail/news/474739/politik/dprd-jateng-rasionalisasi-anggaran-rp1849-m-untuk-corona,Politik
17,Tangki Masker dan Hazmat Dari Demokrat Cegah Corona di Siak,Dewan Pimpinan Cabang (DPC) Partai Demokrat Kabupaten Siak Riau kembali menunjukkan komitmenya untuk terus melakukan pencegahan virus Corona atau Covid19.,2020-04-15 11:02:00,Gatra.com,https://www.gatra.com/detail/news/475583/politik/tangki-masker-dan-hazmat-dari-demokrat-cegah-corona-di-siak,Politik
18,Khawatir Murid-muridnya Kelaparan Guru Sisihkan Beras,"
",2020-04-08 13:11:00,Gatra.com,https://www.gatra.com/detail/news/474840/politik/khawatir-murid-muridnya-kelaparan-guru-sisihkan-beras,Politik
19,Tangani Corona Ganjar Dorong Zakat Dibayar di Awal Ramadan, Gubernur Jawa Tengah (Jateng) Ganjar Pranowo mendorong pembayaran zakat fitrah dan zakat mal umat Islam dapat dilakukan di awal bulan Ramadan 1441 Hijrah.,2020-04-07 19:20:00,Gatra.com,https://www.gatra.com/detail/news/474764/politik/tangani-corona-ganjar-dorong-zakat-dibayar-di-awal-ramadan,Politik
20,KPU Tunggu DPR untuk Pengganti Riza Patria,Komisi Pemiliha Umum (KPU) menanti surat dari DPR tentang pergantian antarwaktu (PAW) untuk menggantikan Ahmad Riza Patria yang mengudurkan diri sebagai anggota dewan dari Fraksi Partai Gerindra. Dia akhirnya terpilih sebagai Wakil Gubernur DKI Jakarta.,2020-04-08 02:41:00,Gatra.com,https://www.gatra.com/detail/news/474809/politik/kpu-tunggu-dpr-untuk-pengganti-riza-patria,Politik
21,Untuk Tangani Corona KPU Inhu Siap Kembalikan Dana Pilkada, Komisi Pemilihan Umum (KPU) Kabupaten Indragiri Hulu (Inhu) Provinsi Riau siap untuk mengembalikan dana Pemilihan kepala daerah (Pilkada) untuk penanganan virus corona atau Covid19.,2020-04-07 22:32:00,Gatra.com,https://www.gatra.com/detail/news/474787/politik/untuk-tangani-corona-kpu-inhu-siap-kembalikan-dana-pilkada,Politik
